id,名称,系列,费用,数值,持续时间,效果,趣闻,备注,,,,,,,,,,,,,,,,,,,
1000,流血,基础,1,3,3,每回合造成[数值]点伤害，持续[持续时间]回合,众所周知，史莱姆是不会流血的,,,,,,,,,,,,,,,,,,,,
1001,恢复,基础,1,3,5,每回合恢复[数值]点生命，持续[持续时间]回合,即便是史莱姆之神也需要喘息,,,,,,,,,,,,,,,,,,,,
1002,入魔,基础,1,1,3,每回合获得[数值]点魔力，持续[持续时间]回合,你的头脑变得麻木...,,,,,,,,,,,,,,,,,,,,
1003,抽牌,基础,1,1,5,每回合抽取[数值]张卡牌，持续[持续时间]回合,这是一个卡牌游戏,,,,,,,,,,,,,,,,,,,,
1007,驱散,基础,1,1,0,随机驱散敌方[数值]个效果,阴森的声音在你耳边萦绕不绝...,,,,,,,,,,,,,,,,,,,,
1100,吸血,进阶,2,0,3,当你造成伤害后，恢复等量的生命值，持续[持续时间]回合,打完身上没一滴血是自己的,,,,,,,,,,,,,,,,,,,,
1101,加速,进阶,0,1,3,每回合造成[数值]点伤害，此伤害每回合+[数值×2]，持续[持续时间]回合,我说，我已启动，你耳朵懂吗,每回合增加的伤害值在手牌里时会被超频翻倍，但在打出之后就会被固定，不随数值的增加而增加（例如第一回合数值是1，每回合+2，下回合数值变成3，但依然是每回合+2，不是+6）,,,,,,,,,,,,,,,,,,,
1102,延续,进阶,1,1,0,使自身的所有效果延长[数值]回合,老板，能不能再加个钟,,,,,,,,,,,,,,,,,,,,
1103,超频,进阶,1,2,0,使你所有手牌的数值和费用x[数值],超频提升角色和武器战力的核心机制,,,,,,,,,,,,,,,,,,,,
1104,结算,进阶,1,1,0,立即结算[数值]次双方身上的所有效果,你的月付账单已生成,,,,,,,,,,,,,,,,,,,,
1105,急救,进阶,0,1,0,立即获得[数值]点魔力并恢复[数值×3]点生命,我觉得我还可以再抢救一下,,,,,,,,,,,,,,,,,,,,
1106,闪击,进阶,0,5,0,立即造成[数值]点伤害,你甚至没看清刀光，一切就结束了,,,,,,,,,,,,,,,,,,,,
1110,重奏,进阶,0,0,0,本牌在你手牌中时，当你使用一张卡牌后，变形为它的复制,人类的本质是复读机,在变形之后如果又使用了卡牌，会再变成那张牌的复制,,,,,,,,,,,,,,,,,,,
1200,七罪,原罪,7,7,7,获得全部[数值]张“七宗罪”卡牌，此后每回合随机获得一张，持续[持续时间]回合,二手全新，拆开概不退换,,,,,,,,,,,,,,,,,,,,
1201,暴怒,原罪,0,7,0,造成[数值]点伤害，有[数值]%概率受到同等伤害,怒火烧尽敌人，同时燃尽自我,,,,,,,,,,,,,,,,,,,,
1202,傲慢,原罪,0,7,1,免疫[数值]次伤害，持续[持续时间]回合,巴尔泽布，我已登神,,,,,,,,,,,,,,,,,,,,
1203,嫉妒,原罪,0,7,0,消耗至多[数值]点魔力值，随机偷取敌人等量的手牌、魔力、效果或生命,你的才是我的,,,,,,,,,,,,,,,,,,,,
1204,贪婪,原罪,0,7,0,弃置至多[数值]张牌，获得等量的魔力值，并对敌人造成等量的伤害,你的也是我的,,,,,,,,,,,,,,,,,,,,
1205,懒惰,原罪,0,7,0,消耗至多[数值]点法力值并抽等量张牌，结束此回合,今天有点累了，明天再更新吧,,,,,,,,,,,,,,,,,,,,
1206,色欲,原罪,0,7,0,随机使场上一个效果的持续时间+[数值],直播间由于太涩情被封禁了,,,,,,,,,,,,,,,,,,,,
1207,暴食,原罪,0,7,0,吃掉至多[数值]张手牌，每吃掉一张，恢复[数值]点生命,拜拜甜甜圈，珍珠奶茶大盘鸡,,,,,,,,,,,,,,,,,,,,
1300,种子,随机,0,0,0,重置随机数种子，随机获得一张牌,何意味,,,,,,,,,,,,,,,,,,,,
1301,骰子,随机,1,12,5,每回合随机造成0-[数值]点伤害，持续1-[持续时间]回合,骰子已经掷下,,,,,,,,,,,,,,,,,,,,
1302,命签,随机,1,12,5,每回合随机恢复0-[数值]点生命，持续1-[持续时间]回合,应天涉远的卜者,,,,,,,,,,,,,,,,,,,,
1303,运势,随机,1,6,5,每回合随机获得0-[数值]点魔力，持续1-[持续时间]回合,本座偏要，执此一签，观照诸天,,,,,,,,,,,,,,,,,,,,
1304,赌徒,随机,1,1,0,"[数值/1+数值]概率获得1张""随机""牌并再次触发此卡效果",一无所有？或者，赢下所有,,,,,,,,,,,,,,,,,,,,
1305,轮盘,随机,1,6,6,5/6概率对自己造成[数值/6]伤害，1/6概率对敌人造成[数值×6]点伤害，持续[持续时间]回合,咔哒。咔哒。咔哒。砰,,,,,,,,,,,,,,,,,,,,
1400,苦修,鲜血,1,1,5,你对自己造成伤害时，获得[数值]点魔力，持续[持续时间]回合,人生是一场修行,,,,,,,,,,,,,,,,,,,,
1401,献祭,鲜血,1,1,5,每回合对双方造成[数值]点伤害，本局对战内“献祭”伤害永久增加一点，持续[持续时间]回合,复活吧，我的爱人,,,,,,,,,,,,,,,,,,,,
1402,卖血,鲜血,0,2,5,对自己造成[数值]点伤害，抽[数值/2]张牌，持续[持续时间]回合,许三观卖血记读后感1000字（通用8篇）-- 作文人网,,,,,,,,,,,,,,,,,,,,
1403,反伤,鲜血,1,0,5,受伤后，对敌造成等量伤害，持续[持续时间]回合,用毒蛇的毒毒毒蛇，毒蛇会不会被毒死,,,,,,,,,,,,,,,,,,,,
1404,血契,鲜血,2,0,3,当你恢复生命后，对敌人造成等量伤害，持续[持续时间]回合,一起成为马猴烧酒吧,,,,,,,,,,,,,,,,,,,,
1500,偷窃,暗影,2,1,3,每回合偷取敌人[数值]张卡牌，持续[持续时间]回合,小时偷针,,,,,,,,,,,,,,,,,,,,
1501,偷魔,暗影,2,1,3,每回合偷取敌人[数值]点魔力，持续[持续时间]回合,大时偷金,,,,,,,,,,,,,,,,,,,,
1502,偷月,暗影,2,1,3,每回合偷取敌人[数值]个效果，持续[持续时间]回合,老时偷月,,,,,,,,,,,,,,,,,,,,
1503,未来,暗影,1,15,3,延迟三回合后，每回合恢复[数值]点生命，持续[持续时间]回合,我（莫）把希望寄托在明天的自己,,,,,,,,,,,,,,,,,,,,
1504,破甲,暗影,2,2,3,敌方受到的伤害翻[数值]倍，持续[持续时间]回合,我给大家找了点穿甲弹[图片][图片],,,,,,,,,,,,,,,,,,,,
1505,羽化,暗影,0,0,0,弃掉手牌，获得等量魔力和生命,观前脑子存放处,,,,,,,,,,,,,,,,,,,,
